2020-05-08 17:18:14,297 [AUDIT] Token created by 'jffe@000': tokenId='82f6d23b-f36f-41c6-bf34-4c4041942381', issuer='jffe@000', subject='jffe@000', expiry=1588958894290, refreshable=false
2020-05-08 17:18:14,311 [AUDIT] Token created by 'jffe@000': tokenId='ea3848d7-8c46-4fa9-a003-df11407a57ec', issuer='jffe@000', subject='jffe@000', expiry=1588958894295, refreshable=false
2020-05-08 17:18:14,323 [AUDIT] Token created by 'jffe@000': tokenId='570a79b9-aba7-4417-9e3d-eda182b900a5', issuer='jffe@000', subject='jffe@000', expiry=1588958894290, refreshable=false
2020-05-08 17:20:57,984 [AUDIT] Token created by 'jffe@000': tokenId='ce83c4fd-c9d6-4840-9780-728da74c7fb1', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1588959057956, refreshable=false
2020-05-08 17:28:14,327 [AUDIT] Token created by 'jffe@000': tokenId='fd1fd5cd-4c8c-4629-a3c8-be06bf152a6c', issuer='jffe@000', subject='jffe@000', expiry=1588959494323, refreshable=false
2020-05-08 17:28:14,331 [AUDIT] Token created by 'jffe@000': tokenId='c042809c-d213-46e8-8af7-d1a12c0095aa', issuer='jffe@000', subject='jffe@000', expiry=1588959494324, refreshable=false
2020-05-08 17:28:14,336 [AUDIT] Token created by 'jffe@000': tokenId='4cb99f1f-45f2-447f-980a-41aef82103bf', issuer='jffe@000', subject='jffe@000', expiry=1588959494324, refreshable=false
2020-05-08 17:28:14,364 [AUDIT] Token created by 'jffe@000': tokenId='68c75717-6409-4b1f-bf2f-2c4be17a5b1e', issuer='jffe@000', subject='jffe@000', expiry=1588959494325, refreshable=false
2020-05-08 17:30:57,999 [AUDIT] Token created by 'jffe@000': tokenId='b439b0d6-b6b2-4ec2-b08a-21dff73c369e', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1588959657997, refreshable=false
2020-05-08 17:31:48,132 [AUDIT] Token created by 'jffe@000': tokenId='1dec46fe-50e7-44ed-95f5-905c44a7556e', issuer='jffe@000', subject='jffe@000/users/anonymous', expiry=1588959708131, refreshable=false
